[2022-12-19 22:58:00,878]:INFO:iter:2, batch_loss==mmLoss:0.0,dloss:0.10359160453081132===
[2022-12-19 22:58:09,205]:INFO:iter:3, batch_loss==mmLoss:0.0,dloss:0.10531594343483448===
[2022-12-19 22:58:17,409]:INFO:iter:4, batch_loss==mmLoss:0.0,dloss:0.09938225485384464===
[2022-12-19 22:58:26,109]:INFO:iter:5, batch_loss==mmLoss:0.0,dloss:0.10112182684242725===
[2022-12-19 22:58:34,449]:INFO:iter:6, batch_loss==mmLoss:0.0,dloss:0.09480430353432893===
[2022-12-19 22:58:43,377]:INFO:iter:7, batch_loss==mmLoss:0.0,dloss:0.11423027012497186===
[2022-12-19 22:58:51,737]:INFO:iter:8, batch_loss==mmLoss:0.0,dloss:0.11452008411288261===
[2022-12-19 22:59:00,192]:INFO:iter:9, batch_loss==mmLoss:0.0,dloss:0.10941132158041===
[2022-12-19 22:59:08,585]:INFO:iter:10, batch_loss==mmLoss:0.0,dloss:0.10819732807576657===
[2022-12-19 22:59:16,887]:INFO:iter:11, batch_loss==mmLoss:0.0,dloss:0.10595833472907543===
[2022-12-19 22:59:25,459]:INFO:iter:12, batch_loss==mmLoss:0.0,dloss:0.10167181603610516===
[2022-12-19 22:59:34,008]:INFO:iter:13, batch_loss==mmLoss:0.0,dloss:0.10553548948373645===
[2022-12-19 22:59:42,631]:INFO:iter:14, batch_loss==mmLoss:0.0,dloss:0.11320656426250934===
[2022-12-19 22:59:51,481]:INFO:iter:15, batch_loss==mmLoss:0.0,dloss:0.10512825883924962===
[2022-12-19 23:00:00,045]:INFO:iter:16, batch_loss==mmLoss:0.0,dloss:0.09838071390986443===
[2022-12-19 23:00:08,503]:INFO:iter:17, batch_loss==mmLoss:0.0,dloss:0.1062586098909378===
[2022-12-19 23:00:16,827]:INFO:iter:18, batch_loss==mmLoss:0.0,dloss:0.11041305735707282===
[2022-12-19 23:00:25,182]:INFO:iter:19, batch_loss==mmLoss:0.0,dloss:0.10538766346871853===
[2022-12-19 23:00:33,877]:INFO:iter:20, batch_loss==mmLoss:0.0,dloss:0.12161636613309383===
[2022-12-19 23:01:10,956]:INFO:iter:20,original:--P:0.09728007841215389,--R:0.38357487922705313,--F:0.15519937451133697
[2022-12-19 23:01:19,403]:INFO:iter:21, batch_loss==mmLoss:0.0,dloss:0.09907162396702915===
[2022-12-19 23:01:28,131]:INFO:iter:22, batch_loss==mmLoss:0.0,dloss:0.11722665522247552===
[2022-12-19 23:01:37,033]:INFO:iter:23, batch_loss==mmLoss:0.0,dloss:0.10729312598705291===
[2022-12-19 23:01:45,489]:INFO:iter:24, batch_loss==mmLoss:0.0,dloss:0.10768744181841612===
[2022-12-19 23:01:53,902]:INFO:iter:25, batch_loss==mmLoss:0.0,dloss:0.11022136230021715===
[2022-12-19 23:02:02,118]:INFO:iter:26, batch_loss==mmLoss:0.0,dloss:0.10912209004163742===
[2022-12-19 23:02:10,420]:INFO:iter:27, batch_loss==mmLoss:0.0,dloss:0.10890731271356344===
[2022-12-19 23:02:18,858]:INFO:iter:28, batch_loss==mmLoss:0.0,dloss:0.11023501046001911===
[2022-12-19 23:02:27,020]:INFO:iter:29, batch_loss==mmLoss:0.0,dloss:0.10893060080707073===
[2022-12-19 23:02:35,606]:INFO:iter:30, batch_loss==mmLoss:0.0,dloss:0.1038240073248744===
[2022-12-19 23:02:44,157]:INFO:iter:31, batch_loss==mmLoss:0.0,dloss:0.11942243073135614===
[2022-12-19 23:02:52,430]:INFO:iter:32, batch_loss==mmLoss:0.0,dloss:0.10105760097503662===
[2022-12-19 23:03:00,834]:INFO:iter:33, batch_loss==mmLoss:0.0,dloss:0.10613055806607008===
[2022-12-19 23:03:09,260]:INFO:iter:34, batch_loss==mmLoss:0.0,dloss:0.11573468297719955===
[2022-12-19 23:03:17,537]:INFO:iter:35, batch_loss==mmLoss:0.0,dloss:0.10944159310311079===
[2022-12-19 23:03:26,082]:INFO:iter:36, batch_loss==mmLoss:0.0,dloss:0.11357997953891755===
[2022-12-19 23:03:34,127]:INFO:iter:37, batch_loss==mmLoss:0.0,dloss:0.10747975558042526===
[2022-12-19 23:03:42,625]:INFO:iter:38, batch_loss==mmLoss:0.0,dloss:0.0971541453851387===
[2022-12-19 23:03:50,883]:INFO:iter:39, batch_loss==mmLoss:0.0,dloss:0.11076302956789733===
[2022-12-19 23:03:59,041]:INFO:iter:40, batch_loss==mmLoss:0.0,dloss:0.0994595168158412===
[2022-12-19 23:04:35,731]:INFO:iter:40,original:--P:0.09724950884086445,--R:0.3826086956521739,--F:0.1550812610142941
[2022-12-19 23:04:44,134]:INFO:iter:41, batch_loss==mmLoss:0.0,dloss:0.12325022630393505===
[2022-12-19 23:04:52,523]:INFO:iter:42, batch_loss==mmLoss:0.0,dloss:0.10064823590219021===
[2022-12-19 23:05:00,553]:INFO:iter:43, batch_loss==mmLoss:0.0,dloss:0.11382051724940538===
[2022-12-19 23:05:08,786]:INFO:iter:44, batch_loss==mmLoss:0.0,dloss:0.1247090831398964===
[2022-12-19 23:05:17,313]:INFO:iter:45, batch_loss==mmLoss:0.0,dloss:0.10901338793337345===
[2022-12-19 23:05:25,758]:INFO:iter:46, batch_loss==mmLoss:0.0,dloss:0.08978206175379455===
[2022-12-19 23:05:34,335]:INFO:iter:47, batch_loss==mmLoss:0.0,dloss:0.10979281030595303===
[2022-12-19 23:05:43,009]:INFO:iter:48, batch_loss==mmLoss:0.0,dloss:0.11134691573679448===
[2022-12-19 23:05:51,190]:INFO:iter:49, batch_loss==mmLoss:0.0,dloss:0.10589764912147075===
[2022-12-19 23:05:59,727]:INFO:iter:50, batch_loss==mmLoss:0.0,dloss:0.11594537384808064===
[2022-12-19 23:06:08,191]:INFO:iter:51, batch_loss==mmLoss:0.0,dloss:0.09775217352434992===
[2022-12-19 23:06:16,971]:INFO:iter:52, batch_loss==mmLoss:0.0,dloss:0.09042833488128962===
[2022-12-19 23:06:25,500]:INFO:iter:53, batch_loss==mmLoss:0.0,dloss:0.11183878313750029===
[2022-12-19 23:06:34,123]:INFO:iter:54, batch_loss==mmLoss:0.0,dloss:0.11024291185312904===
[2022-12-19 23:06:58,472]:INFO:iter:55, batch_loss==mmLoss:0.0,dloss:0.10555486865341664===
[2022-12-19 23:07:07,219]:INFO:iter:56, batch_loss==mmLoss:0.0,dloss:0.11589972712099553===
[2022-12-19 23:07:15,968]:INFO:iter:57, batch_loss==mmLoss:0.0,dloss:0.10662266090512276===
[2022-12-19 23:07:25,232]:INFO:iter:58, batch_loss==mmLoss:0.0,dloss:0.10061004050761539===
[2022-12-19 23:07:33,527]:INFO:iter:59, batch_loss==mmLoss:0.0,dloss:0.10119231883436441===
[2022-12-19 23:07:41,992]:INFO:iter:60, batch_loss==mmLoss:0.0,dloss:0.12036647778004408===
[2022-12-19 23:08:19,137]:INFO:iter:60,original:--P:0.0964890743923398,--R:0.37971014492753624,--F:0.15387627251370398
[2022-12-19 23:08:27,557]:INFO:iter:61, batch_loss==mmLoss:0.0,dloss:0.0959072060340688===
[2022-12-19 23:08:36,187]:INFO:iter:62, batch_loss==mmLoss:0.0,dloss:0.11243546884506941===
[2022-12-19 23:08:44,518]:INFO:iter:63, batch_loss==mmLoss:0.0,dloss:0.10628054685311099===
[2022-12-19 23:08:53,208]:INFO:iter:64, batch_loss==mmLoss:0.0,dloss:0.10572978220880032===
[2022-12-19 23:09:01,672]:INFO:iter:65, batch_loss==mmLoss:0.0,dloss:0.12296930924057961===
[2022-12-19 23:09:10,654]:INFO:iter:66, batch_loss==mmLoss:0.0,dloss:0.10757159517612265===
[2022-12-19 23:09:19,365]:INFO:iter:67, batch_loss==mmLoss:0.0,dloss:0.1071830304339528===
[2022-12-19 23:09:27,838]:INFO:iter:68, batch_loss==mmLoss:0.0,dloss:0.1124590940773487===
[2022-12-19 23:09:36,696]:INFO:iter:69, batch_loss==mmLoss:0.0,dloss:0.10226585865020751===
[2022-12-19 23:09:45,176]:INFO:iter:70, batch_loss==mmLoss:0.0,dloss:0.0924804903092081===
[2022-12-19 23:10:18,856]:INFO:iter:2, batch_loss==mmLoss:0.0,dloss:0.1035879485309124===
[2022-12-19 23:10:27,181]:INFO:iter:3, batch_loss==mmLoss:0.0,dloss:0.10489032790064812===
[2022-12-19 23:10:35,426]:INFO:iter:4, batch_loss==mmLoss:0.0,dloss:0.09808927848935127===
[2022-12-19 23:10:44,129]:INFO:iter:5, batch_loss==mmLoss:0.0,dloss:0.09949976801872254===
[2022-12-19 23:10:52,195]:INFO:iter:6, batch_loss==mmLoss:0.0,dloss:0.09259240794926882===
[2022-12-19 23:11:00,692]:INFO:iter:7, batch_loss==mmLoss:0.0,dloss:0.10105401519685983===
[2022-12-19 23:11:09,279]:INFO:iter:8, batch_loss==mmLoss:0.0,dloss:0.1006958631798625===
[2022-12-19 23:11:17,520]:INFO:iter:9, batch_loss==mmLoss:0.0,dloss:0.10353742111474276===
[2022-12-19 23:11:26,488]:INFO:iter:10, batch_loss==mmLoss:0.0,dloss:0.10612910371273757===
[2022-12-19 23:11:34,560]:INFO:iter:11, batch_loss==mmLoss:0.0,dloss:0.08856663834303617===
[2022-12-19 23:11:43,118]:INFO:iter:12, batch_loss==mmLoss:0.0,dloss:0.09452113938750699===
[2022-12-19 23:11:51,763]:INFO:iter:13, batch_loss==mmLoss:0.0,dloss:0.09693192923441529===
[2022-12-19 23:12:01,297]:INFO:iter:14, batch_loss==mmLoss:0.0,dloss:0.08747731409966945===
[2022-12-19 23:12:12,425]:INFO:iter:15, batch_loss==mmLoss:0.0,dloss:0.09054981423541904===
[2022-12-19 23:12:25,234]:INFO:iter:16, batch_loss==mmLoss:0.0,dloss:0.06542063988745213===
[2022-12-19 23:12:37,883]:INFO:iter:17, batch_loss==mmLoss:0.0,dloss:0.07509750863537193===
[2022-12-19 23:12:51,876]:INFO:iter:18, batch_loss==mmLoss:0.0,dloss:0.061150631873169915===
[2022-12-19 23:13:05,630]:INFO:iter:19, batch_loss==mmLoss:0.0,dloss:0.07279423126019538===
[2022-12-19 23:13:19,594]:INFO:iter:20, batch_loss==mmLoss:0.0,dloss:0.0597095082513988===
[2022-12-19 23:14:13,199]:INFO:iter:20,original:--P:0.027978933508887426,--R:0.3285024154589372,--F:0.051565936149237886
[2022-12-19 23:14:27,235]:INFO:iter:21, batch_loss==mmLoss:0.0,dloss:0.05976403732784093===
[2022-12-19 23:14:40,379]:INFO:iter:22, batch_loss==mmLoss:0.0,dloss:0.07345258947461844===
[2022-12-19 23:14:54,467]:INFO:iter:23, batch_loss==mmLoss:0.0,dloss:0.05142134258057922===
[2022-12-19 23:15:07,169]:INFO:iter:24, batch_loss==mmLoss:0.0,dloss:0.07252084966748953===
[2022-12-19 23:15:21,123]:INFO:iter:25, batch_loss==mmLoss:0.0,dloss:0.0483771895407699===
[2022-12-19 23:15:34,442]:INFO:iter:26, batch_loss==mmLoss:0.0,dloss:0.048893353110179304===
[2022-12-19 23:15:47,066]:INFO:iter:27, batch_loss==mmLoss:0.0,dloss:0.05594238117337227===
[2022-12-19 23:15:59,639]:INFO:iter:28, batch_loss==mmLoss:0.0,dloss:0.05842113404069096===
[2022-12-19 23:16:10,911]:INFO:iter:29, batch_loss==mmLoss:0.0,dloss:0.058895142283290625===
[2022-12-19 23:16:25,449]:INFO:iter:30, batch_loss==mmLoss:0.0,dloss:0.04855422852560878===
[2022-12-19 23:16:38,292]:INFO:iter:31, batch_loss==mmLoss:0.0,dloss:0.04679625704884529===
[2022-12-19 23:16:50,183]:INFO:iter:32, batch_loss==mmLoss:0.0,dloss:0.06013865973800421===
[2022-12-19 23:17:01,703]:INFO:iter:33, batch_loss==mmLoss:0.0,dloss:0.04546388264570851===
[2022-12-19 23:17:13,780]:INFO:iter:34, batch_loss==mmLoss:0.0,dloss:0.06307955905795097===
